Name, Category
ASP.NET, Web application framework
ASP.NET Core, Web application framework
ASP.NET Razor templates, Web application framework
EntityFramework, Database ORM
EntityFramework Core, Database ORM
Json.NET, Serialization
NHibernate, Database ORM
WinForms, User interface
